Authors,Title,Publication,Year,Link,Type,Award,Show,VideoLink
"Neate, Timothy; Maffra, Sergio Alvares; Frier, William; You, Zihao; Wilson, Stephanie; ",Using Mid-Air Haptics to Guide Mid-Air Interactions,IFIP Conference on Human-Computer Interaction (INTERACT),2023,https://kclpure.kcl.ac.uk/ws/portalfiles/portal/225129157/Mid_Air_Haptics_Guidance_INTERACT_2023_CAMERA_READY.pdf,Conference,,,
"Curtis, Humphrey; Neate, Timothy; ",Watch Your Language: Using Smartwatches To Support Communication,Proceedings of the International ACM SIGACCESS Conference on Computers and Accessibility (ASSETS),2023,https://dl.acm.org/doi/10.1145/3597638.3608379,Conference,1; Best Student Paper Award ,,https://www.youtube.com/watch?v=LvQ7O0yIrMQ
"Nevsky, Alexandre; Neate, Timothy; Simperl, Elena; Cruice, Madeline N; ","Lights, Camera, Access: A Closeup on Audiovisual Media Accessibility and Aphasia",Proceedings of the ACM Conference on Human Factors in Computing Systems (CHI),2024,https://kclpure.kcl.ac.uk/portal/en/publications/lights-camera-access-a-closeup-on-audiovisual-media-accessibility,Conference,,,https://www.youtube.com/watch?v=-gN-fMc03CU&t=6s
"Curtis, Humphrey; Neate, Timothy; ",Beyond Repairing with Electronic Speech: Towards Embodied Communication and Assistive Technology,Proceedings of the ACM Conference on Human Factors in Computing Systems (CHI),2024,https://kclpure.kcl.ac.uk/portal/en/publications/beyond-repairing-with-electronic-speech-towards-embodied-communic,Conference,,,https://www.youtube.com/watch?v=OmgYRBIOUBM
"Curtis, Humphrey; Lau, Ying Hei; Neate, Timothy; ",Breaking Badge: Augmenting Communication with Wearable AAC Smartbadges and Displays,Proceedings of the ACM Conference on Human Factors in Computing Systems (CHI),2024,https://kclpure.kcl.ac.uk/ws/portalfiles/portal/248094143/chi_2024_breaking_badge_no_copyright.pdf,Conference,,,https://www.youtube.com/watch?v=XcNVPXo0uVw
"Sattar, Suliman Kalim; Curtis, Humphrey; Neate, Timothy; ",Public Assistive Displays: Employing Public Interactive Displays to Improve Public Transport Access 4All,Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,2024,https://kclpure.kcl.ac.uk/ws/portalfiles/portal/256337489/public_displays.pdf,Poster,,,
"Gonzalez, Carlota Vazquez; Coopamootoo, Kovila; Borgo, Rita; Neate, Timothy; ",Privacy in Non-verbal Communication Tools for Videoconferencing,ACM WomEncourage,2024,https://womencourage.acm.org/2024/wp-content/uploads/2024/06/womencourage2024-posters-final1.pdf,Poster,,No,
"Huo, Zhiqiang; Neate, Timothy; Wyatt, David; Rowland-Coomber, Sophie; Chapman, Martin; Marshall, Iain J; Wolfe, Charles; O'Connell, Matthew; Curcin, Vasa; ",A Preliminary Case Study of Developing a Web-Based Digital Portal for Stroke Survivors Using Synthetic Personal Health Data,2024 IEEE 12th International Conference on Healthcare Informatics (ICHI),2024,https://kclpure.kcl.ac.uk/ws/portalfiles/portal/295254015/A_Preliminary_Case_Study_of_Developing_a_Web-Based_Digital_Portal_for_Stroke_Survivors_Using_Synthetic_Personal_Health_Data.pdf,Poster,,,
"Huo, Zhiqiang; Neate, Timothy; Wyatt, David; Rowland-Coomber, Sophie; Chapman, Martin; Marshall, Iain J; Wolfe, Charles; O'Connell, Matthew; Curcin, Vasa; ",Co-Designing a User-Centred Digital Portal to Support Health-Related Self-Management for Stroke Survivors,2024 IEEE 12th International Conference on Healthcare Informatics (ICHI),2024,https://kclpure.kcl.ac.uk/ws/portalfiles/portal/295253947/Co-Designing_a_User-Centred_Digital_Portal_to_Support_Health-Related_Self-Management_for_Stroke_Survivors.pdf,Conference,1: Best Paper Award (Human Factors Track),,
"Sahoo, Deepak Ranjan; Neate, Timothy; Tokuda, Yutaka; Pearson, Jennifer; Robinson, Simon; Subramanian, Sriram; Jones, Matt; ",JDLED: Towards Visio-Tactile Displays Based on Electrochemical Locomotion of Liquid-Metal Janus Droplets,Adjunct Proceedings of the 30th Annual ACM Symposium on User Interface Software and Technology,2017,https://simon.robinson.ac/home/publications/JDLED.pdf,Poster,,No,
"Nevsky, Alexandre; Bircanin, Filip; Cruice, Madeline; Wilson, Stephanie; Simperl, Elena; Neate, Timothy; ","""I Wish You Could Make the Camera Stand Still"": Envisioning Media Accessibility Interventions with People with Aphasia",Proceedings of the International ACM SIGACCESS Conference on Computers and Accessibility (ASSETS),2024,https://openaccess.city.ac.uk/id/eprint/33917/1/3663548.3675598.pdf,Conference,,,
"Curtis, Humphrey; Jenkins, Adam DG; Ibrahim, Seray B; Neate, Timothy; ",Looking Past Screens: Exploring Mixed Reality and Discreet AAC Devices,Proceedings of the International ACM SIGACCESS Conference on Computers and Accessibility (ASSETS),2024,https://kclpure.kcl.ac.uk/ws/portalfiles/portal/295530587/Exploring_Mixed_Reality_AAC.pdf,Conference,2; Best Paper Nominee,,https://youtu.be/Sz0Qejqobho?si=LjwkezGqx1RgZjfP
"Neate, Timothy",Can AI Keep Accessible Communication in the Picture?,Communications of the ACM,2025,https://dl.acm.org/doi/pdf/10.1145/3656178,Magazine,,No,
"Kladouchou, Vasiliki; Makri, Stephann; Frankowska-Takhari, Sylwia; Neate, Timothy; Macfarlane, Andrew; Wilson, Stephanie; Roper, Abi; ","""The Internet is Hard. Is Words"": Investigating Information Search Difficulties Experienced by People with Aphasia and strategies for Combatting Them",Proceedings of ACM Conference on Human Factors in Computing Systems (CHI),2025,https://kclpure.kcl.ac.uk/ws/portalfiles/portal/324400321/chi25-721_CR.pdf,Conference,,,
"Gonzalez, Carlota Vazquez; Neate, Timothy; Borgo, Rita; ",Trusting Tracking: Perceptions of Non-Verbal Communication Tracking in Videoconferencing,Proceedings of ACM Conference on Human Factors in Computing Systems (CHI),2025,https://kclpure.kcl.ac.uk/ws/portalfiles/portal/324029409/chi25_1211_1_.pdf,Conference,2; Best Paper Honourable Mention,,
"Filip Bircanin; Alexandre Nevsky; Perera, Himaya; Agarwal,  Vaasvi; Song, Eunyeol;  Cruice, Madeline; Neate, Timothy;",Sounds Accessible: Envisioning Accessible Audio Media Futures with People with Aphasia,Proceedings of ACM Conference on Human Factors in Computing Systems (CHI),2025,https://kclpure.kcl.ac.uk/ws/portalfiles/portal/326415756/Sounds_Accessible_Envisioning_Accessible_Audio_Media_Futures_with_People_with_Aphasia.pdf,Conference,,,
